code,label,description,parent,kind,in_plot
I09,I09,Other rheumatic heart diseases,I05-I09,category,1
I091,I09.1,"Rheumatic diseases of endocardium, valve unspecified",I09,subcategory,1
I092,I09.2,Chronic rheumatic pericarditis,I09,subcategory,1
I099,I09.9,"Rheumatic heart disease, unspecified",I09,subcategory,1
I10,I10,Essential (primary) hypertension,I10-I15,category,1
I11,I11,Hypertensive heart disease,I10-I15,category,1
I110,I11.0,Hypertensive heart disease with (congestive) heart failure,I11,subcategory,1
I119,I11.9,Hypertensive heart disease without (congestive) heart failure,I11,subcategory,1
I12,I12,Hypertensive renal disease,I10-I15,category,0
I120,I12.0,Hypertensive renal disease with renal failure,I12,subcategory,1
I129,I12.9,Hypertensive renal disease without renal failure,I12,subcategory,1
I13,I13,Hypertensive heart and renal disease,I10-I15,category,0
I130,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,I13,subcategory,1
I131,I13.1,Hypertensive heart and renal disease with renal failure,I13,subcategory,1
I132,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13,subcategory,1
I139,I13.9,"Hypertensive heart and renal disease, unspecified",I13,subcategory,1
I15,I15,Secondary hypertension,I10-I15,category,1
I150,I15.0,Renovascular hypertension,I15,subcategory,1
I151,I15.1,Hypertension secondary to other renal disorders,I15,subcategory,1
I158,I15.8,Other secondary hypertension,I15,subcategory,1
I159,I15.9,"Seconday hypertension, unspecified",I15,subcategory,1
I16,I16,Hypertensive crisis,,category,0
I169,I16.9,"Hypertensive crisis, unspecified",I16,subcategory,1
I20,I20,Angina pectoris,I20-I25,category,1
I200,I20.0,Unstable angina,I20,subcategory,1
I201,I20.1,Angina pectoris with documented spasm,I20,subcategory,1
I208,I20.8,Other forms of angina pectoris,I20,subcategory,1
I209,I20.9,"Angina pectoris, unspecified",I20,subcategory,1
I21,I21,Acute myocardial infarction,I20-I25,category,1
I210,I21.0,Acute transmural myocardial infarction of anterior wall,I21,subcategory,1
I211,I21.1,Acute transmural myocardial infarction of inferior wall,I21,subcategory,1
I212,I21.2,Acute transmural myocardial infarction of other sites,I21,subcategory,1
I213,I21.3,Acute transmural myocardial infarction of unspecified site,I21,subcategory,1
I214,I21.4,Acute subendocardial myocardial infarction,I21,subcategory,1
I219,I21.9,"Acute myocardial infarction, unspecified",I21,subcategory,1
I22,I22,Subsequent myocardial infarction,I20-I25,category,1
I220,I22.0,Subsequent myocardial infarction of anterior wall,I22,subcategory,1
I221,I22.1,Subsequent myocardial infarction of inferior wall,I22,subcategory,1
I228,I22.8,Subsequent myocardial infarction of other sites,I22,subcategory,1
I229,I22.9,Subsequent myocardial infarction of unspecified site,I22,subcategory,1
I23,I23,Certain current complications following acute myocardial infarction,I20-I25,category,0
I230,I23.0,Haemopericardium as current complication following acute myocardial infarction,I23,subcategory,1
I231,I23.1,Atrial septal defect as current complication following acute myocardial infarction,I23,subcategory,1
I232,I23.2,Ventricular septal defect as current complication following acute myocardial infarction,I23,subcategory,1
I233,I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,I23,subcategory,1
I236,I23.6,"Thrombosis of atrium, auricular appendage and ventricle as current complications following acute myocardial infarction",I23,subcategory,1
I238,I23.8,Other current complications following acute myocardial infarction,I23,subcategory,1
I24,I24,Other acute ischaemic heart diseases,I20-I25,category,0
I240,I24.0,Coronary thrombosis not resulting in myocardial infarction,I24,subcategory,1
I241,I24.1,Dressler's syndrome,I24,subcategory,1
I248,I24.8,Other forms of acute ischaemic heart disease,I24,subcategory,1
I249,I24.9,"Acute ischaemic heart disease, unspecified",I24,subcategory,1
I25,I25,Chronic ischaemic heart disease,I20-I25,category,1
I250,I25.0,"Atherosclerotic cardiovascular disease, so described",I25,subcategory,1
I251,I25.1,Atherosclerotic heart disease,I25,subcategory,1
I252,I25.2,Old myocardial infarction,I25,subcategory,1
I253,I25.3,Aneurysm of heart,I25,subcategory,1
I254,I25.4,Coronary artery aneurysm,I25,subcategory,1
I255,I25.5,Ischaemic cardiomyopathy,I25,subcategory,1
I256,I25.6,Silent myocardial ischaemia,I25,subcategory,1
I258,I25.8,Other forms of chronic ischaemic heart disease,I25,subcategory,1
I2589,I25.89,Other forms of chronic ischemic heart disease,I258,extension,1
I259,I25.9,"Chronic ischaemic heart disease, unspecified",I25,subcategory,1
I26,I26,Pulmonary embolism,I26-I28,category,1
I260,I26.0,Pulmonary embolism with mention of acute cor pulmonale,I26,subcategory,1
I269,I26.9,Pulmonary embolism without mention of acute cor pulmonale,I26,subcategory,1
I27,I27,Other pulmonary heart diseases,I26-I28,category,0
I270,I27.0,Primary pulmonary hypertension,I27,subcategory,1
I271,I27.1,Kyphoscoliotic heart disease,I27,subcategory,1
I272,I27.2,Other secondary pulmonary hypertension,I27,subcategory,1
I278,I27.8,Other specified pulmonary heart diseases,I27,subcategory,1
I279,I27.9,"Pulmonary heart disease, unspecified",I27,subcategory,1
I28,I28,Other diseases of pulmonary vessels,I26-I28,category,1
I280,I28.0,Arteriovenous fistula of pulmonary vessels,I28,subcategory,1
I281,I28.1,Aneurysm of pulmonary artery,I28,subcategory,1
I288,I28.8,Other specified diseases of pulmonary vessels,I28,subcategory,1
I289,I28.9,"Disease of pulmonary vessels, unspecified",I28,subcategory,1
I30,I30,Acute pericarditis,I30-I52,category,1
I300,I30.0,Acute nonspecific idiopathic pericarditis,I30,subcategory,1
I301,I30.1,Infective pericarditis,I30,subcategory,1
I308,I30.8,Other forms of acute pericarditis,I30,subcategory,1
I309,I30.9,"Acute pericarditis, unspecified",I30,subcategory,1
I31,I31,Other diseases of pericardium,I30-I52,category,1
I310,I31.0,Chronic adhesive pericarditis,I31,subcategory,1
I311,I31.1,Chronic constrictive pericarditis,I31,subcategory,1
I312,I31.2,"Haemopericardium, not elsewhere classified",I31,subcategory,1
I313,I31.3,Pericardial effusion (noninflammatory),I31,subcategory,1
I318,I31.8,Other specified diseases of pericardium,I31,subcategory,1
I319,I31.9,"Disease of pericardium, unspecified",I31,subcategory,1
I32,I32,Pericarditis in diseases classified elsewhere,I30-I52,category,0
I320,I32.0,Pericarditis in bacterial diseases classified elsewhere,I32,subcategory,1
I321,I32.1,Pericarditis in other infectious and parasitic diseases classified elsewhere,I32,subcategory,1
I328,I32.8,Pericarditis in other diseases classified elsewhere,I32,subcategory,1
I33,I33,Acute and subacute endocarditis,I30-I52,category,0
I330,I33.0,Acute and subacute infective endocarditis,I33,subcategory,1
I339,I33.9,"Acute endocarditis, unspecified",I33,subcategory,1
I34,I34,Nonrheumatic mitral valve disorders,I30-I52,category,1
I340,I34.0,Mitral (valve) insufficiency,I34,subcategory,1
I341,I34.1,Mitral (valve) prolapse,I34,subcategory,1
I342,I34.2,Nonrheumatic mitral (valve) stenosis,I34,subcategory,1
I348,I34.8,Other nonrheumatic mitral valve disorders,I34,subcategory,1
I349,I34.9,"Nonrheumatic mitral valve disorder, unspecified",I34,subcategory,1
I35,I35,Nonrheumatic aortic valve disorders,I30-I52,category,1
I350,I35.0,Aortic (valve) stenosis,I35,subcategory,1
I351,I35.1,Aortic (valve) insufficiency,I35,subcategory,1
I352,I35.2,Aortic (valve) stenosis with insufficiency,I35,subcategory,1
I358,I35.8,Other aortic valve disorders,I35,subcategory,1
I359,I35.9,"Aortic valve disorder, unspecified",I35,subcategory,1
I36,I36,Nonrheumatic tricuspid valve disorders,I30-I52,category,1
I360,I36.0,Nonrheumatic tricuspid (valve) stenosis,I36,subcategory,1
I361,I36.1,Nonrheumatic tricuspid (valve) insufficiency,I36,subcategory,1
I368,I36.8,Other nonrheumatic tricuspid valve disorders,I36,subcategory,1
I369,I36.9,"Nonrheumatic tricuspid valve disorder, unspecified",I36,subcategory,1
I37,I37,Pulmonary valve disorders,I30-I52,category,1
I370,I37.0,Pulmonary valve stenosis,I37,subcategory,1
I371,I37.1,Pulmonary valve insufficiency,I37,subcategory,1
I378,I37.8,Other pulmonary valve disorders,I37,subcategory,1
I379,I37.9,"Pulmonary valve disorder, unspecified",I37,subcategory,1
I38,I38,"Endocarditis, valve unspecified",I30-I52,category,1
I39,I39,Endocarditis and heart valve disorders in diseases classified elsewhere,I30-I52,category,0
I390,I39.0,Mitral valve disorders in diseases classified elsewhere,I39,subcategory,1
I391,I39.1,Aortic valve disorders in diseases classified elsewhere,I39,subcategory,1
I393,I39.3,Pulmonary valve disorders in diseases classified elsewhere,I39,subcategory,1
I398,I39.8,"Endocarditis, valve unspecified, in diseases classified elsewhere",I39,subcategory,1
I40,I40,Acute myocarditis,I30-I52,category,1
I400,I40.0,Infective myocarditis,I40,subcategory,1
I408,I40.8,Other acute myocarditis,I40,subcategory,1
I409,I40.9,"Acute myocarditis, unspecified",I40,subcategory,1
I41,I41,Myocarditis in diseases classified elsewhere,I30-I52,category,0
I411,I41.1,Myocarditis in viral diseases classified elsewhere,I41,subcategory,1
I42,I42,Cardiomyopathy,I30-I52,category,1
I420,I42.0,Dilated cardiomyopathy,I42,subcategory,1
I421,I42.1,Obstructive hypertrophic cardiomyopathy,I42,subcategory,1
I422,I42.2,Other hypertrophic cardiomyopathy,I42,subcategory,1
I424,I42.4,Endocardial fibroelastosis,I42,subcategory,1
I425,I42.5,Other restrictive cardiomyopathy,I42,subcategory,1
I426,I42.6,Alcoholic cardiomyopathy,I42,subcategory,1
I427,I42.7,Cardiomyopathy due to drugs and other external agents,I42,subcategory,1
I428,I42.8,Other cardiomyopathies,I42,subcategory,1
I429,I42.9,"Cardiomyopathy, unspecified",I42,subcategory,1
I43,I43,Cardiomyopathy in diseases classified elsewhere,I30-I52,category,0
I430,I43.0,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,I43,subcategory,1
I431,I43.1,Cardiomyopathy in metabolic diseases,I43,subcategory,1
I432,I43.2,Cardiomyopathy in nutritional diseases,I43,subcategory,1
I438,I43.8,Cardiomyopathy in other diseases classified elsewhere,I43,subcategory,1
I44,I44,Atrioventricular and left bundle-branch block,I30-I52,category,1
I440,I44.0,"Atrioventricular block, first degree",I44,subcategory,1
I441,I44.1,"Atrioventricular block, second degree",I44,subcategory,1
I442,I44.2,"Atrioventricular block, complete",I44,subcategory,1
I443,I44.3,Other and unspecified atrioventricular block,I44,subcategory,1
I444,I44.4,Left anterior fascicular block,I44,subcategory,1
I445,I44.5,Left posterior fascicular block,I44,subcategory,1
I446,I44.6,Other and unspecified fascicular block,I44,subcategory,1
I447,I44.7,"Left bundle-branch block, unspecified",I44,subcategory,1
I45,I45,Other conduction disorders,I30-I52,category,1
I450,I45.0,Right fascicular block,I45,subcategory,1
I451,I45.1,Other and unspecified right bundle-branch block,I45,subcategory,1
I4510,I45.10,Unspecified right bundle-branch block,I451,extension,1
I452,I45.2,Bifascicular block,I45,subcategory,1
I453,I45.3,Trifascicular block,I45,subcategory,1
I454,I45.4,Nonspecific intraventricular block,I45,subcategory,1
I455,I45.5,Other specified heart block,I45,subcategory,1
I456,I45.6,Preexcitation syndrome,I45,subcategory,1
I458,I45.8,Other specified conduction disorders,I45,subcategory,1
I459,I45.9,"Conduction disorder, unspecified",I45,subcategory,1
I46,I46,Cardiac arrest,I30-I52,category,1
I460,I46.0,Cardiac arrest with successful resuscitation,I46,subcategory,1
I461,I46.1,"Sudden cardiac death, so described",I46,subcategory,1
I469,I46.9,"Cardiac arrest, unspecified",I46,subcategory,1
I47,I47,Paroxysmal tachycardia,I30-I52,category,1
I470,I47.0,Reentry ventricular arrhythmia,I47,subcategory,1
I471,I47.1,Supraventricular tachycardia,I47,subcategory,1
I472,I47.2,Ventricular tachycardia,I47,subcategory,1
I479,I47.9,"Paroxysmal tachycardia, unspecified",I47,subcategory,1
I48,I48,Atrial fibrillation and flutter,I30-I52,category,1
I480,I48.0,Paroxysmal atrial fibrillation,I48,subcategory,1
I481,I48.1,Persistent atrial fibrillation,I48,subcategory,1
I482,I48.2,Chronic atrial fibrillation,I48,subcategory,1
I483,I48.3,Typical atrial flutter,I48,subcategory,1
I484,I48.4,Atypical atrial flutter,I48,subcategory,1
I489,I48.9,"Atrial fibrillation and atrial flutter,  unspecified",I48,subcategory,1
I49,I49,Other cardiac arrhythmias,I30-I52,category,1
I490,I49.0,Ventricular fibrillation and flutter,I49,subcategory,1
I491,I49.1,Atrial premature depolarisation,I49,subcategory,1
I492,I49.2,Junctional premature depolarisation,I49,subcategory,1
I493,I49.3,Ventricular premature depolarisation,I49,subcategory,1
I494,I49.4,Other and unspecified premature depolarisation,I49,subcategory,1
I495,I49.5,Sick sinus syndrome,I49,subcategory,1
I498,I49.8,Other specified cardiac arrhythmias,I49,subcategory,1
I499,I49.9,"Cardiac arrhythmia, unspecified",I49,subcategory,1
I50,I50,Heart failure,I30-I52,category,1
I500,I50.0,Congestive heart failure,I50,subcategory,1
I501,I50.1,Left ventricular failure,I50,subcategory,1
I508,I50.8,Other heart failure,I50,subcategory,0
I5081,I50.81,Right heart failure,I508,extension,1
I5082,I50.82,Biventricular heart failure,I508,extension,1
I5083,I50.83,High output heart failure,I508,extension,1
I5084,I50.84,End stage heart failure,I508,extension,1
I5089,I50.89,Other heart failure,I508,extension,1
I509,I50.9,"Heart failure, unspecified",I50,subcategory,1
I51,I51,Complications and ill-defined descriptions of heart disease,I30-I52,category,1
I510,I51.0,"Cardiac septal defect, acquired",I51,subcategory,1
I511,I51.1,"Rupture of chordae tendineae, not elsewhere classified",I51,subcategory,1
I512,I51.2,"Rupture of papillary muscle, not elsewhere classified",I51,subcategory,1
I513,I51.3,"Intracardiac thrombosis, not elsewhere classified",I51,subcategory,1
I514,I51.4,"Myocarditis, unspecified",I51,subcategory,1
I515,I51.5,Myocardial degeneration,I51,subcategory,1
I516,I51.6,"Cardiovascular disease, unspecified",I51,subcategory,1
I517,I51.7,Cardiomegaly,I51,subcategory,1
I518,I51.8,Other ill-defined heart diseases,I51,subcategory,1
I519,I51.9,"Heart disease, unspecified",I51,subcategory,1
I52,I52,Other heart disorders in diseases classified elsewhere,I30-I52,category,0
I520,I52.0,Other heart disorders in bacterial diseases classified elsewhere,I52,subcategory,1
I528,I52.8,Other heart disorders in other diseases classified elsewhere,I52,subcategory,1
I60,I60,Subarachnoid haemorrhage,I60-I69,category,1
I600,I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation,I60,subcategory,1
I601,I60.1,Subarachnoid haemorrhage from middle cerebral artery,I60,subcategory,1
I602,I60.2,Subarachnoid haemorrhage from anterior communicating artery,I60,subcategory,1
I603,I60.3,Subarachnoid haemorrhage from posterior communicating artery,I60,subcategory,1
I604,I60.4,Subarachnoid haemorrhage from basilar artery,I60,subcategory,1
I605,I60.5,Subarachnoid haemorrhage from vertebral artery,I60,subcategory,1
I606,I60.6,Subarachnoid haemorrhage from other intracranial arteries,I60,subcategory,1
I607,I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified",I60,subcategory,1
I608,I60.8,Other subarachnoid haemorrhage,I60,subcategory,1
I609,I60.9,"Subarachnoid haemorrhage, unspecified",I60,subcategory,1
I61,I61,Intracerebral haemorrhage,I60-I69,category,1
I610,I61.0,"Intracerebral haemorrhage in hemisphere, subcortical",I61,subcategory,1
I611,I61.1,"Intracerebral haemorrhage in hemisphere, cortical",I61,subcategory,1
I612,I61.2,"Intracerebral haemorrhage in hemisphere, unspecified",I61,subcategory,1
I613,I61.3,Intracerebral haemorrhage in brain stem,I61,subcategory,1
I614,I61.4,Intracerebral haemorrhage in cerebellum,I61,subcategory,1
I615,I61.5,"Intracerebral haemorrhage, intraventricular",I61,subcategory,1
I616,I61.6,"Intracerebral haemorrhage, multiple localised",I61,subcategory,1
I618,I61.8,Other intracerebral haemorrhage,I61,subcategory,1
I619,I61.9,"Intracerebral haemorrhage, unspecified",I61,subcategory,1
I62,I62,Other nontraumatic intracranial haemorrhage,I60-I69,category,1
I620,I62.0,Subdural haemorrhage (acute) (nontraumatic),I62,subcategory,1
I621,I62.1,Nontraumatic extradural haemorrhage,I62,subcategory,1
I629,I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",I62,subcategory,1
I63,I63,Cerebral infarction,I60-I69,category,1
I630,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,I63,subcategory,1
I631,I63.1,Cerebral infarction due to embolism of precerebral arteries,I63,subcategory,1
I632,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63,subcategory,1
I633,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,I63,subcategory,1
I634,I63.4,Cerebral infarction due to embolism of cerebral arteries,I63,subcategory,1
I635,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63,subcategory,1
I636,I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",I63,subcategory,1
I638,I63.8,Other cerebral infarction,I63,subcategory,1
I639,I63.9,"Cerebral infarction, unspecified",I63,subcategory,1
I64,I64,"Stroke, not specified as haemorrhage or infarction",I60-I69,category,1
I65,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",I60-I69,category,0
I650,I65.0,Occlusion and stenosis of vertebral artery,I65,subcategory,1
I651,I65.1,Occlusion and stenosis of basilar artery,I65,subcategory,1
I652,I65.2,Occlusion and stenosis of carotid artery,I65,subcategory,1
I653,I65.3,Occlusion and stenosis of multiple and bilateral precerebral arteries,I65,subcategory,1
I658,I65.8,Occlusion and stenosis of other precerebral artery,I65,subcategory,1
I659,I65.9,Occlusion and stenosis of unspecified precerebral artery,I65,subcategory,1
I66,I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",I60-I69,category,1
I660,I66.0,Occlusion and stenosis of middle cerebral artery,I66,subcategory,1
I661,I66.1,Occlusion and stenosis of anterior cerebral artery,I66,subcategory,1
I662,I66.2,Occlusion and stenosis of posterior cerebral artery,I66,subcategory,1
I663,I66.3,Occlusion and stenosis of cerebellar arteries,I66,subcategory,1
I664,I66.4,Occlusion and stenosis of multiple and bilateral cerebral arteries,I66,subcategory,1
I668,I66.8,Occlusion and stenosis of other cerebral artery,I66,subcategory,1
I669,I66.9,Occlusion and stenosis of unspecified cerebral artery,I66,subcategory,1
I67,I67,Other cerebrovascular diseases,I60-I69,category,1
I670,I67.0,"Dissection of cerebral arteries, nonruptured",I67,subcategory,1
I671,I67.1,"Cerebral aneurysm, nonruptured",I67,subcategory,1
I672,I67.2,Cerebral atherosclerosis,I67,subcategory,1
I673,I67.3,Progressive vascular leukoencephalopathy,I67,subcategory,1
I674,I67.4,Hypertensive encephalopathy,I67,subcategory,1
I676,I67.6,Nonpyogenic thrombosis of intracranial venous system,I67,subcategory,1
I677,I67.7,"Cerebral arteritis, not elsewhere classified",I67,subcategory,1
I678,I67.8,Other specified cerebrovascular diseases,I67,subcategory,1
I6784,I67.84,Cerebral vasospasm and vasoconstriction,I678,extension,1
I679,I67.9,"Cerebrovascular disease, unspecified",I67,subcategory,1
I68,I68,Cerebrovascular disorders in diseases classified elsewhere,I60-I69,category,0
I680,I68.0,Cerebral amyloid angiopathy,I68,subcategory,1
I688,I68.8,Other cerebrovascular disorders in diseases classified elsewhere,I68,subcategory,1
I69,I69,Sequelae of cerebrovascular disease,I60-I69,category,0
I690,I69.0,Sequelae of subarachnoid haemorrhage,I69,subcategory,1
I691,I69.1,Sequelae of intracerebral haemorrhage,I69,subcategory,1
I692,I69.2,Sequelae of other nontraumatic intracranial haemorrhage,I69,subcategory,1
I693,I69.3,Sequelae of cerebral infarction,I69,subcategory,1
I694,I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",I69,subcategory,1
I698,I69.8,Sequelae of other and unspecified cerebrovascular diseases,I69,subcategory,1
I699,I69.9,Sequelae of unspecified cerebrovascular diseases,I69,subcategory,0
I6990,I69.90,Unspecified sequelae of unspecified cerebrovascular disease,I699,extension,1
I70,I70,Atherosclerosis,I70-I79,category,1
I700,I70.0,Atherosclerosis of aorta,I70,subcategory,1
I7000,I70.00,Atherosclerosis of aorta (without gangrene),I700,extension,1
I7001,I70.01,Atherosclerosis of aorta (with gangrene),I700,extension,1
I701,I70.1,Atherosclerosis of renal artery,I70,subcategory,1
I7010,I70.10,Atherosclerosis of renal artery (without gangrene),I701,extension,1
I7011,I70.11,Atherosclerosis of renal artery (with gangrene),I701,extension,1
I702,I70.2,Atherosclerosis of arteries of the extremities,I70,subcategory,1
I7020,I70.20,Atherosclerosis of arteries of extremities (without gangrene),I702,extension,1
I7021,I70.21,Atherosclerosis of arteries of extremities (with gangrene),I702,extension,1
I708,I70.8,Atherosclerosis of other arteries,I70,subcategory,1
I7080,I70.80,Atherosclerosis of other arteries (without gangrene),I708,extension,1
I7081,I70.81,Atherosclerosis of other arteries (with gangrene),I708,extension,1
I709,I70.9,Generalised and unspecified atherosclerosis,I70,subcategory,1
I7090,I70.90,Generalized and unspecified atherosclerosis (without gangrene),I709,extension,1
I7091,I70.91,Generalized and unspecified atherosclerosis (with gangrene),I709,extension,1
I71,I71,Aortic aneurysm and dissection,I70-I79,category,1
I710,I71.0,Dissection of aorta [any part],I71,subcategory,1
I711,I71.1,"Thoracic aortic aneurysm, ruptured",I71,subcategory,1
I712,I71.2,"Thoracic aortic aneurysm, without mention of rupture",I71,subcategory,1
I713,I71.3,"Abdominal aortic aneurysm, ruptured",I71,subcategory,1
I714,I71.4,"Abdominal aortic aneurysm, without mention of rupture",I71,subcategory,1
I715,I71.5,"Thoracoabdominal aortic aneurysm, ruptured",I71,subcategory,1
I716,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71,subcategory,1
I718,I71.8,"Aortic aneurysm of unspecified site, ruptured",I71,subcategory,1
I719,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",I71,subcategory,1
I72,I72,Other aneurysm,I70-I79,category,1
I720,I72.0,Aneurysm of carotid artery,I72,subcategory,1
I721,I72.1,Aneurysm of artery of upper extremity,I72,subcategory,1
I722,I72.2,Aneurysm of renal artery,I72,subcategory,1
I723,I72.3,Aneurysm of iliac artery,I72,subcategory,1
I724,I72.4,Aneurysm of artery of lower extremity,I72,subcategory,1
I725,I72.5,Aneurysm and dissection of other precerebral arteries,I72,subcategory,1
I726,I72.6,Aneurysm and dissection of vertebral artery,I72,subcategory,1
I728,I72.8,Aneurysm of other specified arteries,I72,subcategory,1
I729,I72.9,Aneurysm of unspecified site,I72,subcategory,1
I73,I73,Other peripheral vascular diseases,I70-I79,category,1
I730,I73.0,Raynaud's syndrome,I73,subcategory,1
I7300,I73.00,Raynaud's syndrome without gangrene,I730,extension,1
I731,I73.1,Thromboangiitis obliterans [Buerger],I73,subcategory,1
I738,I73.8,Other specified peripheral vascular diseases,I73,subcategory,1
I739,I73.9,"Peripheral vascular disease, unspecified",I73,subcategory,1
I74,I74,Arterial embolism and thrombosis,I70-I79,category,1
I740,I74.0,Embolism and thrombosis of abdominal aorta,I74,subcategory,1
I741,I74.1,Embolism and thrombosis of other and unspecified parts of aorta,I74,subcategory,1
I742,I74.2,Embolism and thrombosis of arteries of the upper extremities,I74,subcategory,1
I743,I74.3,Embolism and thrombosis of arteries of the lower extremities,I74,subcategory,1
I744,I74.4,"Embolism and thrombosis of arteries of extremities, unspecified",I74,subcategory,1
I745,I74.5,Embolism and thrombosis of iliac artery,I74,subcategory,1
I748,I74.8,Embolism and thrombosis of other arteries,I74,subcategory,1
I749,I74.9,Embolism and thrombosis of unspecified artery,I74,subcategory,1
I77,I77,Other disorders of arteries and arterioles,I70-I79,category,1
I770,I77.0,"Arteriovenous fistula, acquired",I77,subcategory,1
I771,I77.1,Stricture of artery,I77,subcategory,1
I772,I77.2,Rupture of artery,I77,subcategory,1
I773,I77.3,Arterial fibromuscular dysplasia,I77,subcategory,1
I774,I77.4,Coeliac artery compression syndrome,I77,subcategory,1
I776,I77.6,"Arteritis, unspecified",I77,subcategory,1
I778,I77.8,Other specified disorders of arteries and arterioles,I77,subcategory,1
I779,I77.9,"Disorder of arteries and arterioles, unspecified",I77,subcategory,1
I78,I78,Diseases of capillaries,I70-I79,category,1
I780,I78.0,Hereditary haemorrhagic telangiectasia,I78,subcategory,1
I781,I78.1,"Naevus, nonneoplastic",I78,subcategory,1
I788,I78.8,Other diseases of capillaries,I78,subcategory,1
I789,I78.9,"Disease of capillaries, unspecified",I78,subcategory,1
I79,I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",I70-I79,category,0
I790,I79.0,Aneurysm of aorta in diseases classified elsewhere,I79,subcategory,1
I792,I79.2,Peripheral angiopathy in diseases classified elsewhere,I79,subcategory,1
I798,I79.8,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",I79,subcategory,1
I80,I80,Phlebitis and thrombophlebitis,I80-I89,category,1
I800,I80.0,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,I80,subcategory,1
I801,I80.1,Phlebitis and thrombophlebitis of femoral vein,I80,subcategory,1
I802,I80.2,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80,subcategory,1
I803,I80.3,"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80,subcategory,1
I808,I80.8,Phlebitis and thrombophlebitis of other sites,I80,subcategory,1
I809,I80.9,Phlebitis and thrombophlebitis of unspecified site,I80,subcategory,1
I81,I81,Portal vein thrombosis,I80-I89,category,1
I82,I82,Other venous embolism and thrombosis,I80-I89,category,1
I820,I82.0,Budd-Chiari syndrome,I82,subcategory,1
I821,I82.1,Thrombophlebitis migrans,I82,subcategory,1
I822,I82.2,Embolism and thrombosis of vena cava,I82,subcategory,1
I823,I82.3,Embolism and thrombosis of renal vein,I82,subcategory,1
I828,I82.8,Embolism and thrombosis of other specified veins,I82,subcategory,1
I829,I82.9,Embolism and thrombosis of unspecified vein,I82,subcategory,1
I83,I83,Varicose veins of lower extremities,I80-I89,category,1
I830,I83.0,Varicose veins of lower extremities with ulcer,I83,subcategory,1
I8300,I83.00,Varicose veins of unspecified lower extremity with ulcer,I830,extension,1
I8301,I83.01,Varicose veins of right lower extremity with ulcer,I830,extension,1
I8302,I83.02,Varicose veins of left lower extremity with ulcer,I830,extension,1
I831,I83.1,Varicose veins of lower extremities with inflammation,I83,subcategory,1
I8310,I83.10,Varicose veins of unspecified lower extremity with inflammation,I831,extension,1
I832,I83.2,Varicose veins of lower extremities with both ulcer and inflammation,I83,subcategory,1
I839,I83.9,Varicose veins of lower extremities without ulcer or inflammation,I83,subcategory,1
I8390,I83.90,Asymptomatic varicose veins of unspecified lower extremity,I839,extension,1
I84,I84,Haemorrhoids,I80-I89,category,0
I840,I84.0,Internal thrombosed haemorrhoids,I84,subcategory,1
I841,I84.1,Internal haemorrhoids with other complications,I84,subcategory,1
I842,I84.2,Internal haemorrhoids without complication,I84,subcategory,1
I843,I84.3,External thrombosed haemorrhoids,I84,subcategory,1
I844,I84.4,External haemorrhoids with other complications,I84,subcategory,1
I845,I84.5,External haemorrhoids without complication,I84,subcategory,1
I846,I84.6,Residual haemorrhoidal skin tags,I84,subcategory,1
I847,I84.7,Unspecified thrombosed haemorrhoids,I84,subcategory,1
I848,I84.8,Unspecified haemorrhoids with other complications,I84,subcategory,1
I849,I84.9,Unspecified haemorrhoids without complication,I84,subcategory,1
I85,I85,Oesophageal varices,I80-I89,category,1
I850,I85.0,Oesophageal varices with bleeding,I85,subcategory,1
I859,I85.9,Oesophageal varices without bleeding,I85,subcategory,1
I86,I86,Varicose veins of other sites,I80-I89,category,1
I860,I86.0,Sublingual varices,I86,subcategory,1
I861,I86.1,Scrotal varices,I86,subcategory,1
I862,I86.2,Pelvic varices,I86,subcategory,1
I863,I86.3,Vulval varices,I86,subcategory,1
I864,I86.4,Gastric varices,I86,subcategory,1
I868,I86.8,Varicose veins of other specified sites,I86,subcategory,1
I87,I87,Other disorders of veins,I80-I89,category,1
I870,I87.0,Postphlebitic syndrome,I87,subcategory,1
